game,possession_home,possession_away,passing_home_attempts,passing_away_attempts,passing_home_success,passing_away_success,passing_home_accuracy,passing_away_accuracy,shots_home,shots_away,shots_on_home,shots_on_away,shot_accuracy_home,shot_accuracy_away,saves_home,saves_away,saves_made_home,saves_made_away,save_percent_home,save_percent_away
1,50%,50%,409,410,258,251,63%,61%,11,13,2,2,18%,15%,11,13,2,2,18%,15%
2,62%,38%,498,308,395,183,79%,59%,12,9,1,1,8%,11%,12,9,1,1,8%,11%
3,34%,66%,259,512,146,401,56%,78%,11,15,1,2,9%,13%,11,15,1,2,9%,13%
4,27%,73%,297,796,191,683,64%,86%,3,16,0,7,0%,44%,3,16,0,7,0%,44%
5,80%,20%,677,171,559,78,83%,46%,45,1,11,0,24%,0%,45,1,11,0,24%,0%
6,65%,35%,532,288,399,144,75%,50%,27,0,6,0,22%,0%,27,0,6,0,22%,0%
7,41%,59%,452,664,305,518,67%,78%,0,24,0,9,0%,38%,0,24,0,9,0%,38%
8,74%,26%,702,250,591,140,84%,56%,20,7,10,2,50%,29%,20,7,10,2,50%,29%
9,55%,45%,552,443,403,295,73%,67%,13,9,2,2,15%,22%,13,9,2,2,15%,22%
10,68%,32%,615,287,471,151,77%,53%,15,10,6,4,40%,40%,15,10,6,4,40%,40%
11,55%,45%,451,366,334,228,74%,62%,12,2,5,1,42%,50%,12,2,5,1,42%,50%
12,71%,29%,554,230,415,109,75%,47%,14,6,5,2,36%,33%,14,6,5,2,36%,33%
13,53%,47%,434,390,311,268,72%,69%,12,5,4,1,33%,20%,12,5,4,1,33%,20%
14,74%,26%,766,276,650,172,85%,62%,16,6,6,4,38%,67%,16,6,6,4,38%,67%
15,72%,28%,631,250,524,140,83%,56%,32,6,10,2,31%,33%,32,6,10,2,31%,33%
16,57%,43%,411,312,287,181,70%,58%,16,5,4,3,25%,60%,16,5,4,3,25%,60%
17,68%,32%,611,283,428,132,70%,47%,16,4,4,1,25%,25%,16,4,4,1,25%,25%
18,49%,51%,513,524,393,403,77%,77%,8,15,1,5,13%,33%,8,15,1,5,13%,33%
19,57%,43%,604,463,485,353,80%,76%,24,6,12,2,50%,33%,24,6,12,2,50%,33%
20,74%,26%,782,278,665,148,85%,53%,22,10,13,2,59%,20%,22,10,13,2,59%,20%
21,60%,40%,561,368,425,212,76%,58%,17,14,7,6,41%,43%,17,14,7,6,41%,43%
22,45%,55%,427,529,283,402,66%,76%,18,5,3,1,17%,20%,18,5,3,1,17%,20%
23,69%,31%,618,275,508,164,82%,60%,29,5,9,1,31%,20%,29,5,9,1,31%,20%
24,63%,37%,523,301,392,184,75%,61%,28,11,8,6,29%,55%,28,11,8,6,29%,55%
25,61%,39%,549,353,409,225,74%,64%,13,13,4,4,31%,31%,13,13,4,4,31%,31%
26,70%,30%,672,292,544,169,81%,58%,13,6,4,2,31%,33%,13,6,4,2,31%,33%
27,52%,48%,460,427,350,287,76%,67%,7,7,3,1,43%,14%,7,7,3,1,43%,14%
28,47%,53%,450,508,334,385,74%,76%,21,12,7,2,33%,17%,21,12,7,2,33%,17%
29,54%,46%,482,414,322,273,67%,66%,19,11,7,2,37%,18%,19,11,7,2,37%,18%
30,51%,49%,406,389,275,276,68%,71%,13,20,4,4,31%,20%,13,20,4,4,31%,20%
31,61%,39%,495,314,360,187,73%,60%,16,10,0,2,0%,20%,16,10,0,2,0%,20%
32,51%,49%,550,528,405,376,74%,71%,3,12,2,3,67%,25%,3,12,2,3,67%,25%
33,71%,29%,682,281,562,156,82%,56%,30,4,11,1,37%,25%,30,4,11,1,37%,25%
34,67%,33%,611,300,480,166,79%,55%,13,9,1,4,8%,44%,13,9,1,4,8%,44%
35,57%,43%,441,329,321,193,73%,59%,16,14,3,7,19%,50%,16,14,3,7,19%,50%
36,24%,76%,294,946,173,820,59%,87%,7,10,5,2,71%,20%,7,10,5,2,71%,20%
37,60%,40%,549,359,406,225,74%,63%,11,9,3,5,27%,56%,11,9,3,5,27%,56%
38,59%,41%,574,392,483,310,84%,79%,5,11,1,2,20%,18%,5,11,1,2,20%,18%
39,29%,71%,311,764,192,649,62%,85%,5,42,1,17,20%,40%,5,42,1,17,20%,40%
40,56%,44%,446,350,306,219,69%,63%,6,17,0,5,0%,29%,6,17,0,5,0%,29%
41,39%,61%,331,508,183,369,55%,73%,9,8,2,5,22%,63%,9,8,2,5,22%,63%
42,27%,73%,314,832,197,721,63%,87%,6,17,2,7,33%,41%,6,17,2,7,33%,41%
43,39%,61%,322,512,177,379,55%,74%,12,17,5,6,42%,35%,12,17,5,6,42%,35%
44,42%,58%,345,485,228,369,66%,76%,6,6,2,2,33%,33%,6,6,2,2,33%,33%
45,29%,71%,232,557,121,444,52%,80%,5,24,2,6,40%,25%,5,24,2,6,40%,25%
46,28%,72%,266,674,130,499,49%,74%,3,18,0,8,0%,44%,3,18,0,8,0%,44%
47,40%,60%,358,534,212,404,59%,76%,7,11,5,3,71%,27%,7,11,5,3,71%,27%
48,28%,72%,237,622,133,487,56%,78%,5,14,2,4,40%,29%,5,14,2,4,40%,29%
49,31%,69%,325,732,224,627,69%,86%,2,26,1,10,50%,38%,2,26,1,10,50%,38%
50,60%,40%,663,446,547,329,83%,74%,16,8,4,3,25%,38%,16,8,4,3,25%,38%
51,70%,30%,708,308,573,187,81%,61%,14,13,6,7,43%,54%,14,13,6,7,43%,54%
52,42%,58%,490,671,338,498,69%,74%,9,22,1,11,11%,50%,9,22,1,11,11%,50%
53,56%,44%,621,490,467,327,75%,67%,12,20,4,2,33%,10%,12,20,4,2,33%,10%
54,44%,56%,430,547,293,404,68%,74%,10,13,3,3,30%,23%,10,13,3,3,30%,23%
55,51%,49%,384,368,242,237,63%,64%,11,6,3,2,27%,33%,11,6,3,2,27%,33%
56,73%,27%,710,259,575,126,81%,49%,15,1,5,0,33%,0%,15,1,5,0,33%,0%
57,61%,39%,755,479,561,282,74%,59%,27,10,7,4,26%,40%,27,10,7,4,26%,40%
58,50%,50%,544,536,433,431,80%,80%,10,14,3,5,30%,36%,10,14,3,5,30%,36%
59,50%,50%,512,505,336,346,66%,69%,15,21,3,5,20%,24%,15,21,3,5,20%,24%
60,60%,40%,564,378,454,256,80%,68%,10,15,6,3,60%,20%,10,15,6,3,60%,20%
61,60%,40%,561,367,432,230,77%,63%,13,6,2,3,15%,50%,13,6,2,3,15%,50%
62,43%,57%,386,517,277,424,72%,82%,12,15,4,5,33%,33%,12,15,4,5,33%,33%
